name,date,amount,categories
Full Pint Brewing Chinookie IPA,Thu Feb 27 00:22:20 UTC 2014,1.0,Beer
Full Pint Brewing Chinookie IPA,Wed Feb 26 04:21:12 UTC 2014,1.0,Beer
Techmo Super Baseball,Wed Feb 26 04:21:03 UTC 2014,60.0,Video Game
Costa Rica Del Sol,Tue Feb 25 18:19:00 UTC 2014,1.0,Coffee
Plain Bagel,Tue Feb 25 10:45:18 UTC 2014,1.0,Bagel
Full Pint Brewing Chinookie IPA,Mon Feb 24 22:22:44 UTC 2014,1.0,Beer
Techmo Super Baseball,Mon Feb 24 17:09:00 UTC 2014,40.0,Video Game
Cinnamon Bagel,Mon Feb 24 15:00:00 UTC 2014,1.0,Bagel
Techmo Super Baseball,Mon Feb 24 02:09:00 UTC 2014,240.0,Video Game
Plain Bagel,Mon Feb 24 02:00:00 UTC 2014,1.0,Bagel
Full Pint Brewing Chinookie IPA,Mon Feb 24 02:00:00 UTC 2014,1.0,Beer
Cinnamon Bagel,Mon Feb 24 02:00:00 UTC 2014,1.0,Bagel
Plain Bagel,Sun Feb 23 22:09:00 UTC 2014,1.0,Bagel
Cinnamon Bagel,Sun Feb 23 15:00:00 UTC 2014,1.0,Bagel
Plain Bagel,Sun Feb 23 15:00:00 UTC 2014,1.0,Bagel
Full Pint Brewing Chinookie IPA,Sat Feb 22 21:00:00 UTC 2014,2.0,Beer
Techmo Super Baseball,Fri Feb 21 20:09:00 UTC 2014,40.0,Video Game
Techmo Super Baseball,Thu Feb 20 20:09:00 UTC 2014,60.0,Video Game
Techmo Super Baseball,Thu Feb 20 14:02:33 UTC 2014,110.0,Video Game
Zebra Drip,Thu Feb 20 14:02:18 UTC 2014,1.0,Coffee
Costa Rica Del Sol,Thu Feb 20 14:02:14 UTC 2014,1.0,Coffee
Heart Mender,Tue Feb 18 14:27:24 UTC 2014,1.0,Coffee
Poppy Seed Bagel,Tue Feb 18 14:25:06 UTC 2014,1.0,Bagel
East Side Big Hop,Tue Feb 18 00:15:00 UTC 2014,1.0,Beer
Heart Mender,Mon Feb 17 21:10:00 UTC 2014,1.0,Coffee
Heart Mender,Mon Feb 17 18:00:00 UTC 2014,1.0,Coffee
Recording,Mon Feb 17 07:29:30 UTC 2014,2.0,Music
Techmo Super Baseball,Mon Feb 17 07:29:10 UTC 2014,30.0,Video Game
Costa Rica Del Sol,Sun Feb 16 17:02:28 UTC 2014,1.0,Coffee
East End Big Hop IPA,Sun Feb 16 09:08:26 UTC 2014,2.0,Beer
Recording,Sun Feb 16 05:30:00 UTC 2014,4.0,Music
Composing,Sat Feb 15 19:34:00 UTC 2014,4.0,Music
Composing,Sat Feb 15 05:47:57 UTC 2014,0.5,Music
Techmo Super Baseball,Sat Feb 15 05:47:45 UTC 2014,180.0,Video Game
Costa Rica Del Sol,Sat Feb 15 05:47:30 UTC 2014,1.0,Coffee
East End Big Hop IPA,Sat Feb 15 05:47:07 UTC 2014,1.0,Beer
East End Lord Nordsberry,Sat Feb 15 05:46:55 UTC 2014,2.0,Beer
Oat Bagel,Thu Feb 13 16:46:17 UTC 2014,1.0,Bagel
East End Lord Nordsberry,Thu Feb 13 15:23:16 UTC 2014,3.0,Beer
Costa Rica Del Sol,Thu Feb 13 15:21:39 UTC 2014,1.0,Coffee
Everything Bagel,Thu Feb 13 15:21:31 UTC 2014,1.0,Bagel
LoL,Wed Feb 12 08:11:03 UTC 2014,110.0,Video Game
Practicing,Tue Feb 11 23:15:04 UTC 2014,1.0,Music
Common Ground Coffee,Tue Feb 11 23:14:45 UTC 2014,1.0,Coffee
Plain Bagel,Tue Feb 11 23:13:56 UTC 2014,1.0,Bagel
Zebra Drip,Tue Feb 11 14:14:07 UTC 2014,1.0,Coffee
Plain Bagel,Tue Feb 11 14:13:56 UTC 2014,1.0,Bagel
Techmo Super Baseball,Tue Feb 11 13:00:28 UTC 2014,20.0,Video Game
Costa Rica Del Sol,Tue Feb 11 13:00:24 UTC 2014,1.0,Coffee
Costa Rica Del Sol,Mon Feb 10 19:34:24 UTC 2014,1.0,Coffee
